NumFloors,YearBuilt,YearAlter1,YearAlter2
30,1983,0,0
31,2012,0,0
10,1915,0,0
3,1920,0,0
1,1940,0,0
8,1900,0,0
6,1950,1983,0
5,1982,1982,0
1,1900,0,0
1,1900,0,0
3,1985,0,0
4,1900,0,0
2,1900,0,0
1,1900,0,0
5,1980,1983,0
35,1993,0,0
31,1973,1998,0
3,1920,1963,2012
2,1920,1964,2012
28,1987,1989,0
26,1929,0,0
4,1974,0,0
4,1900,0,0
3,1902,0,0
5,1882,0,0
4.5,1938,0,0
6,1900,0,0
11,1900,1990,0
23,2015,0,0
5,1948,1948,0
4,1946,0,0
14,2009,0,0
3,1900,0,0
30,2000,0,0
25,2003,0,0
14,1926,2000,0
31,1956,2011,2003
12,1918,2004,1986
6,1900,1990,0
7,1942,2012,0
6,1900,0,0
5,1900,0,0
8,1900,1979,0
16,1905,1990,2001
26,1912,0,0
17,1900,2007,0
15,1900,1989,0
5,1910,2004,2004
2,1940,0,0
5,1930,2011,0
8,1900,1999,0
6,1930,1985,0
4,1900,2014,2004
4.5,1900,0,0
4,1900,0,0
6,1930,0,0
3,1930,2003,0
9,1910,2003,0
13,1909,2004,0
14,1908,2007,0
5,1900,2008,0
15,1929,1989,0
5,1910,1968,0
6,1987,1988,2002
4,1900,1989,2002
15,1920,1999,2002
9,1903,1981,0
9,1910,2010,0
3,1909,0,0
6,1909,1988,2011
5,1920,2003,0
13,1900,2004,0
16,1906,2004,0
29,1916,1985,2005
58,1961,2002,2012
52,2003,0,0
32,1930,0,0
15,1935,1964,2005
1,1900,0,0
7,1918,1999,0
4,1929,0,0
5,1933,2004,0
13,1907,1987,2008
2,1951,0,0
18,1911,0,0
2,1900,1989,0
59,2006,0,0
44,1927,0,0
12,1900,1985,0
6,1960,1989,2009
3,1900,0,0
31,1961,2013,0
6,2001,0,0
4,1940,0,0
5,1900,0,0
5,1909,1950,0
3,1913,0,0
6,1900,1987,0
10,1900,1990,2013
47,2013,0,0
30,2012,0,0
5,2001,0,0
6,1900,2005,0
6,1900,0,0
29,1896,0,0
10,1923,0,0
5,1935,1988,0
2,1900,0,0
4,1929,1963,0
14,1919,2005,0
10,1940,2007,2007
10,1900,0,0
10,1908,2008,0
22,1951,2009,0
3,1925,0,0
4,1920,0,0
18,2012,0,0
7,1935,1999,0
2,1900,0,0
12,1910,1989,0
5,1900,0,0
5,1900,0,0
4,1900,1999,0
5,1900,2007,2007
14,1925,0,0
6,1925,1985,0
6,1963,0,0
34,2013,0,0
20,1927,1990,0
5,1900,1989,0
5,1900,1988,0
5,1900,0,0
5,1900,1976,0
3,1920,0,0
4,1920,0,0
17,1973,0,0
12,1955,0,0
6,1971,0,0
10,1970,0,0
20,1981,0,0
7,1983,0,0
3,1983,0,0
4,1983,1983,0
4,1980,0,0
4,1983,0,0
5,1900,1984,0
5,1900,0,0
4.5,1900,1989,0
4.5,1900,1989,0
4,1900,0,0
2,1900,1988,0
4.5,1900,0,0
4.5,1940,0,0
4.5,1900,0,0
4,1900,0,0
4,1920,0,0
4,1920,0,0
5,1900,1981,2005
7,2004,0,0
5,1900,2004,0
5,1900,0,0
5,1900,2004,0
4,1900,0,0
6,2004,0,0
4,1900,0,0
5,1900,1980,0
4,1901,0,0
4,1900,0,0
4,1998,0,0
5,1901,2004,0
2,1900,0,0
6,1989,2011,0
5,1900,2006,0
5,1900,1978,0
4,1988,0,0
4,1900,0,0
6,1900,0,0
5,1910,0,0
6,1999,0,0
8,1968,0,0
14,1901,1988,0
23,1900,0,0
76,2007,0,0
11,1900,1981,0
16,1900,1928,0
18,1968,2013,0
6,2008,0,0
5,1920,1986,2004
5,1900,0,0
3,1900,2015,0
7,1950,2013,0
9,2002,0,0
2,1973,0,0
5,1922,0,0
5,1920,0,0
7,1900,0,0
7,1900,1989,0
4,1920,1985,0
4,1900,2005,2009
4,1910,1985,0
8,2010,0,0
5,1930,0,0
5,1900,0,0
6,1920,1986,0
7,1900,0,0
5,1900,2007,2009
6,1900,1983,0
8,1900,0,0
1,1950,0,0
8,1906,0,0
5,1920,0,2009
5,1920,1989,0
5,1900,0,0
4,1900,0,0
17,1950,1988,0
4,1950,0,0
4,1965,0,0
7,1975,0,0
32,1912,0,0
5,1905,1988,0
4,1905,1983,0
5,1910,0,0
3,1905,0,0
5,1900,0,0
4,1905,1989,0
2,1960,0,0
16,1973,0,0
39,1914,2004,0
2,1914,2012,2001
3,1951,0,0
5,1915,1984,0
60.5,1913,2003,0
70,2008,0,0
18,1927,1985,2004
5,1920,1957,0
21,2013,0,0
5,1915,0,0
5,1915,2000,0
5,1935,0,0
5,1920,1987,0
8,1920,1996,0
30,1964,0,0
6,1920,0,0
19,1959,2007,0
12,1921,0,0
21,1964,2000,0
15,2010,2010,1998
13,1987,2003,0
26,1983,2002,0
10,1932,1987,0
6,1900,0,0
6,1920,0,0
10,1920,1982,0
5,1858,1999,0
5,1920,0,0
4,1920,0,0
3,1905,1984,0
5.5,1905,2008,2008
6,1930,1976,2013
11,1987,0,0
5,1893,0,0
13,2001,0,0
6,1924,0,0
5,1900,0,0
5,1905,0,0
5,1920,1989,0
6,1920,2005,0
4,1900,0,0
8,1920,1988,2005
5,1915,1988,0
5,1910,0,0
5,1930,0,0
6,1969,0,0
7,1910,0,0
6,1900,0,0
6,1920,2003,0
5,1920,0,0
6,1920,1987,2006
6,1920,0,0
11,1931,0,0
5,1920,0,0
6,1930,2002,0
5,1915,1983,2006
5,1920,1985,0
8,1915,1985,0
15,1937,0,0
5,1920,0,0
12,1900,0,0
6,1930,0,0
10,1930,2002,0
6,1915,2004,2004
12,1900,2014,0
5,1915,1989,2006
7,1915,2006,2007
5,1915,0,0
5,1920,1988,0
5,1915,1985,0
5,1900,0,0
5,1915,0,0
5,1915,1985,0
5,1915,0,0
5,1936,1920,0
12,1915,0,0
5,1920,0,0
10,1860,2005,2005
28,1910,2001,0
6,1915,0,0
6,1915,2005,0
6,1915,2005,0
10,2006,0,0
5,1915,0,0
5,1915,1978,0
5,1920,1981,2006
5,1915,1988,2008
5,1915,2006,0
6,1920,1985,0
6,1920,1990,2003
5,1920,0,0
4,1900,1985,2009
5,1920,1985,0
1,1930,1986,0
5,1915,0,0
10,1900,0,0
9,1915,0,0
6,1915,1989,2003
13,2007,0,0
5,1935,1986,2006
6,1915,1986,0
4,1915,0,0
5,1915,0,0
5,1915,0,2005
6,1920,2008,0
5,1920,1986,0
5,1920,1980,0
14,1920,1980,0
5,1915,0,0
11,1987,0,0
13,1920,2005,0
7,1915,1989,2006
7.5,1915,1987,0
10,1915,0,0
5,1915,0,0
5,1915,0,0
12,1997,0,0
5,1920,0,0
5,1910,2006,0
3,1920,1985,0
11,1987,0,0
10,1988,0,0
5,1930,1994,0
5,1920,0,0
16,1931,2006,0
6,1915,1987,0
3,1915,1987,2013
5.5,1915,2004,0
4,1915,2009,0
5,1999,0,0
6,1999,0,0
5.5,1900,2006,0
4,1915,1980,0
6,1920,0,0
5,1930,1981,0
5,1920,0,0
5,1915,2005,0
5,1920,2008,2008
5,1915,1986,0
4,1915,2010,0
5,1915,2008,0
5,1915,1987,2005
5,1910,1980,2006
5,1910,1986,1998
2,1910,1995,0
3,1910,0,0
5,1880,0,0
5,1915,1985,0
4,1986,0,0
12,1910,1998,0
7,1910,0,0
5,1915,0,0
8,2005,0,0
3,1988,0,0
2.75,1899,2009,0
2.75,1940,2008,0
2.75,1899,2007,0
2,1960,0,0
2,1960,0,0
2,1960,0,0
2,1960,0,0
2,1899,2008,0
2,1960,0,0
39,1975,0,0
8,1980,0,0
32,2006,0,0
29,2005,0,0
10,1930,1985,0
